Department,Month,Budget,Actual,Forecast,Variance,PctVariance,ShockFlag,Year,Quarter,QuarterPeriod,YearlyPeriod,YTD_Budget,YTD_Actual,YTD_Variance,YTD_PctVariance,BaseLevel,DeptGrowth,TrendComponent,SeasonAmp,SeasonPhase,NoiseSigma,NoiseComponent,ShockComponent,MonthTS
Finance,2018-01,67526.51,67152.02,67152.02,-374.49,-0.01,False,2018,1,2018Q1,2018,67526.51,67152.02,-374.49,-0.01,65650.64087325898,0.0008015437515822686,0.0,0.028868283976546623,1.42778299794038,0.03,-374.4933289849186,0.0,2018-01-31
Finance,2018-02,67464.29,66086.13,66619.08,-1378.15,-0.02,False,2018,1,2018Q1,2018,134990.8,133238.15,-1752.65,-0.01,65650.64087325898,0.0008015437515822686,52.62186097933143,0.028868283976546623,1.42778299794038,0.03,-1378.1527724855184,0.0,2018-02-28
Finance,2018-03,66929.67,69384.4,67540.85,2454.73,0.04,False,2018,1,2018Q1,2018,201920.47,202622.56,702.08,0.0,65650.64087325898,0.0008015437515822686,105.28590068252986,0.028868283976546623,1.42778299794038,0.03,2454.7287428975987,0.0,2018-03-31
Finance,2018-04,66079.4,65773.07,67081.2,-306.34,-0.0,False,2018,2,2018Q2,2018,267999.87,268395.62,395.75,0.0,65650.64087325898,0.0008015437515822686,157.992152917681,0.028868283976546623,1.42778299794038,0.03,-306.3364730538348,0.0,2018-04-30
Finance,2018-05,65155.11,64317.88,66491.78,-837.23,-0.01,False,2018,2,2018Q2,2018,333154.99,332713.5,-441.49,-0.0,65650.64087325898,0.0008015437515822686,210.74065151998457,0.028868283976546623,1.42778299794038,0.03,-837.2324549361222,0.0,2018-05-31
Finance,2018-06,64418.7,63738.18,64609.71,-680.52,-0.01,False,2018,2,2018Q2,2018,397573.69,396451.68,-1122.01,-0.0,65650.64087325898,0.0008015437515822686,263.5314303517395,0.028868283976546623,1.42778299794038,0.03,-680.5195558997219,0.0,2018-06-30
Finance,2018-07,64082.09,65105.44,64387.17,1023.34,0.02,False,2018,3,2018Q3,2018,461655.78,461557.12,-98.66,-0.0,65650.64087325898,0.0008015437515822686,316.36452330241707,0.028868283976546623,1.42778299794038,0.03,1023.3445969154455,0.0,2018-07-31
Finance,2018-08,64250.37,64954.77,64599.46,704.4,0.01,False,2018,3,2018Q3,2018,525906.15,526511.89,605.74,0.0,65650.64087325898,0.0008015437515822686,369.2399642886314,0.028868283976546623,1.42778299794038,0.03,704.3975018345158,0.0,2018-08-31
Finance,2018-09,64893.4,65696.91,65252.37,803.51,0.01,False,2018,3,2018Q3,2018,590799.55,592208.79,1409.24,0.0,65650.64087325898,0.0008015437515822686,422.1577872541692,0.028868283976546623,1.42778299794038,0.03,803.5086334469992,0.0,2018-09-30
Finance,2018-10,65853.69,66704.82,65785.5,851.13,0.01,False,2018,4,2018Q4,2018,656653.23,658913.61,2260.38,0.0,65650.64087325898,0.0008015437515822686,475.1180261700473,0.028868283976546623,1.42778299794038,0.03,851.1345200146362,0.0,2018-10-31
